cell,spec,n,estimator,target_time,truth,bias,bias_mc_se,emp_sd,mean_se,se_ratio,rmse,coverage,coverage_mc_se,ci_width,n_used
C8,Q✗ π✗ G✗,250,aipw,2.66982,-0.25736161330036356,0.026418478388003614,0.0028347316638400117,0.06338652698317349,0.0576837075278027,0.9100310471831868,0.06861306070800237,0.902,0.013296315279053816,0.22611597849847057,500.0
C8,Q✗ π✗ G✗,250,gcomp,0.513946,-0.09886684941881166,0.02747527952392941,0.0011981141439583425,0.02679064670694823,,,0.03835615020296768,,,,500.0
C8,Q✗ π✗ G✗,250,gcomp,1.149562,-0.17473091250511089,0.04636270550618403,0.0017572956435927963,0.039294325156377354,,,0.06074912644120298,,,,500.0
C8,Q✗ π✗ G✗,250,gcomp,2.66982,-0.25736161330036356,0.055195206364196066,0.0024776076267072748,0.0554009907488939,,,0.07816419923464514,,,,500.0
C8,Q✗ π✗ G✗,250,ipw,0.513946,-0.09886684941881166,0.027017908498919906,0.0016335464062723882,0.036527208088255485,0.03842961836101891,1.0520820060533207,0.0454041389800234,0.86,0.01551773179301666,0.15064133585443248,500.0
C8,Q✗ π✗ G✗,250,ipw,1.149562,-0.17473091250511089,0.044088665656480626,0.002133913760524683,0.04771576226655399,0.0531110031077702,1.1130704108021336,0.06493112366276957,0.862,0.01542439626046997,0.20819130654804893,500.0
C8,Q✗ π✗ G✗,250,ipw,2.66982,-0.25736161330036356,0.04939577465326075,0.002753577655486564,0.06157186818992454,0.06927971044708162,1.1251844792719536,0.0788888795464124,0.902,0.013296315279053816,0.2715714746712865,500.0
C8,Q✗ π✗ G✗,250,tmle,0.513946,-0.09886684941881166,0.007543039878474753,0.0017531298536222165,0.03920117526083532,0.035868549259416155,0.9149865793756268,0.039881776893154176,0.916,0.012405160216619531,0.14060212945231296,500.0
C8,Q✗ π✗ G✗,250,tmle,1.149562,-0.17473091250511089,0.017028886207242345,0.002199772871444913,0.04918841675610733,0.04709592591197737,0.9574596829472022,0.05200619489777889,0.916,0.012405160216619531,0.18461263721208468,500.0
C8,Q✗ π✗ G✗,250,tmle,2.66982,-0.25736161330036356,0.023841557148020137,0.0028432288886434086,0.06357653070597842,0.057294513209346906,0.901189677592131,0.06784033574015765,0.896,0.013651666564928987,0.22459036480414862,500.0
C8,Q✗ π✗ G✗,250,tmle (concrete),0.513946,-0.09886684941881166,0.020546691802305405,0.0024523926804861803,0.029223631533758957,0.03606000649132788,1.233933108199492,0.03563948588546885,0.9366197183098591,0.020446291991910063,0.14135262912553792,142.0
C8,Q✗ π✗ G✗,250,tmle (concrete),1.149562,-0.17473091250511089,0.035229933329500265,0.003403829856274418,0.04056131398322849,0.04715714606449462,1.1626138661088101,0.05361699671518926,0.8873239436619719,0.02653461235025743,0.1848526172583023,142.0
C8,Q✗ π✗ G✗,250,tmle (concrete),2.66982,-0.25736161330036356,0.04742904641140349,0.004668015046749623,0.05562581914622637,0.05707605838555712,1.0260713327298323,0.07295173633784921,0.8661971830985915,0.02856911844645265,0.2237340393951801,142.0
C1,Q✓ π✓ G✓,500,aipw,0.513946,-0.09886684941881166,-0.00038233986557404553,0.0014033413111324646,0.031379665673258735,0.031047028147234153,0.9893995834918009,0.03135060182361367,0.942,0.010453324829928518,0.1217021139911605,500.0
C1,Q✓ π✓ G✓,500,aipw,1.149562,-0.17473091250511089,0.0029158683725066395,0.0018097571143792144,0.04046739930515786,0.038926273739985306,0.9619168616804065,0.04053193153645444,0.93,0.011410521460476728,0.15258818916543693,500.0
C1,Q✓ π✓ G✓,500,aipw,2.66982,-0.25736161330036356,0.000680334181793168,0.0021899312528843506,0.04896835147500691,0.04594071890027547,0.9381716458991535,0.04892408917789239,0.926,0.011706750189527404,0.18008430893683694,500.0
C1,Q✓ π✓ G✓,500,gcomp,0.513946,-0.09886684941881166,-0.000550134590723215,0.0009749949363650429,0.021801549554303176,,,0.021786683912672664,,,,500.0
C1,Q✓ π✓ G✓,500,gcomp,1.149562,-0.17473091250511089,0.0012860608453032802,0.0014052461939943364,0.03142226014894193,,,0.03141715563987088,,,,500.0
C1,Q✓ π✓ G✓,500,gcomp,2.66982,-0.25736161330036356,0.00189455272637552,0.0017774381582377878,0.03974472547621721,,,0.039750135179726455,,,,500.0
C1,Q✓ π✓ G✓,500,ipw,0.513946,-0.09886684941881166,-0.0004273922164949826,0.0014548742427950697,0.0325319770560331,0.03449545802949784,1.0603554149224574,0.032502238941627334,0.958,0.00897061870775924,0.13521971073605754,500.0
C1,Q✓ π✓ G✓,500,ipw,1.149562,-0.17473091250511089,0.002822180529591594,0.0019332568909308167,0.04322893826091202,0.04704327546789464,1.0882357365328026,0.04327780405590166,0.956,0.009172131704244116,0.18440625126374033,500.0
C1,Q✓ π✓ G✓,500,ipw,2.66982,-0.25736161330036356,0.0010750581558947071,0.0023748830010815692,0.05310399829027096,0.06094424695246795,1.1476395170725475,0.05306175944296259,0.962,0.008550555537507495,0.23889705818350426,500.0
C1,Q✓ π✓ G✓,500,tmle,0.513946,-0.09886684941881166,-0.0004994151610855734,0.001374256736996469,0.03072931482461155,0.03053847011082106,0.9937894901048154,0.03070263219194786,0.936,0.01094568408095172,0.11970860312032439,500.0
C1,Q✓ π✓ G✓,500,tmle,1.149562,-0.17473091250511089,0.0026695126477752477,0.0017818492923615669,0.039843361433803605,0.03833785441874684,0.9622143574015953,0.03989291617844766,0.926,0.011706750189527404,0.15028162781056723,500.0
