cell,implementation,n,median_n_times,n_runs,mean_s,sd_s,median_s,q05_s,q95_s,min_s,max_s,total_s,median_steps,median_s_per_step,median_ns_per_step_cell
C5_n250,tmle,250.0,250.0,500.0,7.521316512107849,9.337245710673272,2.648749351501465,0.8040119886398316,27.11852022409439,0.4747917652130127,29.064953804016113,3760.6582560539246,27.0,0.09060444046991953,1449.6710475187124
C5_n250,tmle (concrete),250.0,250.0,145.0,0.5367317199707031,0.5104845659301697,0.396512508392334,0.13435134887695313,1.4904678344726536,0.09275102615356445,2.767524480819702,77.82609939575195,24.0,0.014920239545861068,238.7238327337771
C5_n500,tmle,500.0,500.0,500.0,13.846153835296631,15.583542717219999,9.748500943183899,3.5819624423980714,32.01858705282205,2.0811514854431152,113.5017569065094,6923.076917648315,29.0,0.33675167518002647,1347.006700720106
C5_n500,tmle (concrete),500.0,500.0,149.0,1.6871771988452682,1.0803702948140828,1.4831392765045166,0.5079467296600342,3.7412308692932106,0.37937402725219727,6.950447082519531,251.38940262794495,34.0,0.04494949362494729,179.79797449978915
C6_n1000,tmle,1000.0,1000.0,500.0,49.24537484312057,46.90237272635811,40.275789737701416,15.620252180099488,98.84212616682048,10.35639500617981,447.7322909832001,24622.687421560287,31.0,1.305908819718918,1305.9088197189178
C6_n1000,tmle (concrete),1000.0,1000.0,141.0,5.215350247443991,2.703337698137309,4.587981939315796,1.881662368774414,10.826552391052246,1.519693374633789,15.670142650604248,735.3643848896027,29.0,0.15969531676348517,159.69531676348518
C6_n250,tmle,250.0,250.0,500.0,10.023820492267609,10.901931252006436,3.260706663131714,0.8143136143684387,27.520703172683714,0.4564788341522217,29.941100120544434,5011.910246133804,27.0,0.09572673754559623,1531.6278007295396
C6_n250,tmle (concrete),250.0,250.0,142.0,0.5683182461161009,0.5198806912193096,0.40666842460632324,0.14533301591873168,1.7733216524124145,0.10047364234924316,2.7319395542144775,80.70119094848633,26.5,0.014695429801940918,235.1268768310547
C6_n500,tmle,500.0,500.0,500.0,17.96690629339218,24.357492660728962,9.91549289226532,3.7134216308593753,89.80061089992509,2.299729108810425,122.29355907440186,8983.45314669609,28.0,0.3391971552907434,1356.7886211629739
C6_n500,tmle (concrete),500.0,500.0,142.0,1.5048039244933866,0.9188707723922783,1.3022319078445435,0.5765613317489624,3.087136006355284,0.4332761764526367,5.865783452987671,213.6821572780609,29.0,0.044634638161494815,178.53855264597925
C7_n1000,tmle,1000.0,1000.0,500.0,30.988325283527374,14.266682117556158,28.159754872322083,14.140682792663576,58.56750310659408,8.566551208496094,93.72425889968872,15494.162641763687,21.0,1.3791212271275133,1379.1212271275133
C7_n1000,tmle (concrete),1000.0,1000.0,150.0,4.017593604723612,1.8865767506170175,3.407754898071289,1.9739651441574098,7.435233283042907,1.2812542915344238,11.110972881317139,602.6390407085419,21.0,0.16477168962067248,164.7716896206725
C7_n250,tmle,250.0,250.0,500.0,2.4828584856987,2.8332874633863017,1.6422243118286133,0.6244619250297546,6.817021894454951,0.31087422370910645,21.029088973999023,1241.42924284935,20.0,0.08545369824072473,1367.2591718515957
C7_n250,tmle (concrete),250.0,250.0,148.0,0.43655564817222386,0.37125470768532015,0.2968858480453491,0.10902016162872315,1.172948944568634,0.05790305137634277,2.502053737640381,64.61023592948914,20.0,0.014782636945698119,236.5221911311699
C7_n500,tmle,500.0,500.0,500.0,7.846418480396271,4.823859942041044,6.474796652793884,2.993405854701996,17.41205493211745,2.0669710636138916,36.006678104400635,3923.2092401981354,19.0,0.34265464836067255,1370.6185934426903
C7_n500,tmle (concrete),500.0,500.0,150.0,1.1637586943308513,0.6606160425992619,0.9998061656951904,0.43219949007034303,2.6681902408599787,0.2902064323425293,3.685723304748535,174.56380414962769,23.0,0.045178604056263526,180.7144162250541
C8_n1000,tmle,1000.0,1000.0,500.0,28.907581087589264,14.885538280584278,25.924845933914185,13.395128309726715,51.47456800937651,9.212644815444946,221.43699622154236,14453.790543794632,19.0,1.3816963831583657,1381.696383158366
C8_n1000,tmle (concrete),1000.0,1000.0,145.0,3.5618792550317173,1.52475085780308,3.2464535236358643,1.5508854866027832,6.425330066680907,1.0696353912353516,8.949864387512207,516.472491979599,20.0,0.16332184184681287,163.32184184681287
C8_n250,tmle,250.0,250.0,500.0,3.227843819141388,5.24624059751874,1.5629454851150513,0.6312469601631164,20.578755569457993,0.19692206382751465,25.447266340255737,1613.921909570694,19.0,0.08832294671308427,1413.1671474093484
C8_n250,tmle (concrete),250.0,250.0,142.0,0.3985094050286521,0.39316459330993425,0.301510214805603,0.122032630443573,0.8147630691528319,0.07206916809082031,2.7922122478485107,56.5883355140686,19.0,0.015734618151938162,251.75389043101063
C8_n500,tmle,500.0,500.0,500.0,8.015816097259522,7.541184364781785,6.441618084907532,2.93692319393158,15.762108230590814,1.7991082668304443,76.66598296165466,4007.9080486297607,19.0,0.341997556476032,1367.9902259041282
C8_n500,tmle (concrete),500.0,500.0,140.0,0.9845572471618652,0.5084366053941035,0.8872543573379517,0.4143124341964722,1.9399942755699155,0.3178889751434326,3.1722776889801025,137.83801460266113,19.0,0.047445500890413925,189.7820035616557
