cell,arm,n,n_bootstrap,type,event,time,group,cov_all,cov_convfilter,mode2_effect,cov_dropmode1,mode1_effect,cov_strict,both_effect,width_all,width_convfilter
B_BASEb500_n250_oracle,oracle,250,500,risk,2,8.608445,1,0.96,0.96,0.0,0.9587628865979382,-0.0012371134020617847,0.9587628865979382,-0.0012371134020617847,0.19595459136933308,0.1959584866162435
B_BASEb500_n250_oracle,oracle,250,500,rr,1,0.477676,-1,0.94,0.9587628865979382,0.018762886597938233,0.9587628865979382,0.018762886597938233,0.9587628865979382,0.018762886597938233,5.309722225568599,2.3278425457225316
B_BASEb500_n250_oracle,oracle,250,500,rr,1,3.11961,-1,0.95,0.95,0.0,0.9484536082474226,-0.001546391752577314,0.9484536082474226,-0.001546391752577314,0.708819787421267,0.708822439637895
B_BASEb500_n250_oracle,oracle,250,500,rr,1,8.608445,-1,0.95,0.95,0.0,0.9484536082474226,-0.001546391752577314,0.9484536082474226,-0.001546391752577314,0.4771813797572143,0.4772491877922446
B_BASEb500_n250_oracle,oracle,250,500,rr,2,0.477676,-1,0.98,0.98,0.0,0.979381443298969,-0.0006185567010309478,0.979381443298969,-0.0006185567010309478,13.003797975550537,4.73874875150371
B_BASEb500_n250_oracle,oracle,250,500,rr,2,3.11961,-1,0.98,0.98,0.0,0.979381443298969,-0.0006185567010309478,0.979381443298969,-0.0006185567010309478,1.5759493866857244,1.5759871788799158
B_BASEb500_n250_oracle,oracle,250,500,rr,2,8.608445,-1,0.92,0.92,0.0,0.9278350515463918,0.007835051546391747,0.9278350515463918,0.007835051546391747,1.053139247057638,1.0529699323695823
B_OV2_n250_correct,correct,250,100,rd,1,0.477676,-1,0.84,0.7847222222222222,-0.05527777777777776,0.7338129496402878,-0.10618705035971221,0.7338129496402878,-0.10618705035971221,0.08267646266799197,0.07990265003657994
B_OV2_n250_correct,correct,250,100,rd,1,3.11961,-1,0.96,0.94,-0.020000000000000018,0.8273381294964028,-0.13266187050359712,0.8273381294964028,-0.13266187050359712,0.23785669525635142,0.23274065316667275
B_OV2_n250_correct,correct,250,100,rd,1,8.608445,-1,0.94,0.9333333333333333,-0.006666666666666599,0.8057553956834532,-0.13424460431654672,0.8057553956834532,-0.13424460431654672,0.297770921860913,0.2843013967686441
B_OV2_n250_correct,correct,250,100,rd,2,0.477676,-1,0.9333333333333333,0.8367346938775511,-0.09659863945578229,0.8273381294964028,-0.10599520383693051,0.8273381294964028,-0.10599520383693051,0.08152532403878908,0.07691481568698429
B_OV2_n250_correct,correct,250,100,rd,2,3.11961,-1,0.9133333333333333,0.88,-0.033333333333333326,0.7913669064748201,-0.12196642685851322,0.7913669064748201,-0.12196642685851322,0.23433591973946288,0.22582528369918228
B_OV2_n250_correct,correct,250,100,rd,2,8.608445,-1,0.9066666666666666,0.88,-0.026666666666666616,0.7841726618705036,-0.12249400479616301,0.7841726618705036,-0.12249400479616301,0.3004486482871651,0.2853987577515762
B_OV2_n250_correct,correct,250,100,risk,1,0.477676,0,0.7666666666666667,0.7602739726027398,-0.006392694063926951,0.6474820143884892,-0.11918465227817754,0.6474820143884892,-0.11918465227817754,0.0680536352653746,0.06660567153073477
B_OV2_n250_correct,correct,250,100,risk,1,0.477676,1,0.84,0.8040540540540541,-0.03594594594594591,0.7769784172661871,-0.06302158273381286,0.7769784172661871,-0.06302158273381286,0.04164429075524091,0.040309934856308044
B_OV2_n250_correct,correct,250,100,risk,1,3.11961,0,0.9533333333333334,0.9333333333333333,-0.020000000000000018,0.8273381294964028,-0.12599520383693052,0.8273381294964028,-0.12599520383693052,0.1954356046571559,0.19088465096063725
B_OV2_n250_correct,correct,250,100,risk,1,3.11961,1,0.94,0.9466666666666667,0.00666666666666671,0.8633093525179856,-0.07669064748201437,0.8633093525179856,-0.07669064748201437,0.1282453419237603,0.12938542046308438
B_OV2_n250_correct,correct,250,100,risk,1,8.608445,0,0.9466666666666667,0.9066666666666666,-0.040000000000000036,0.7985611510791367,-0.14810551558752993,0.7985611510791367,-0.14810551558752993,0.23300947490030954,0.22710285367438768
B_OV2_n250_correct,correct,250,100,risk,1,8.608445,1,0.94,0.9333333333333333,-0.006666666666666599,0.8057553956834532,-0.13424460431654672,0.8057553956834532,-0.13424460431654672,0.18494679982257523,0.18120956123992063
B_OV2_n250_correct,correct,250,100,risk,2,0.477676,0,0.8266666666666667,0.7905405405405406,-0.03612612612612609,0.6906474820143885,-0.13601918465227814,0.6906474820143885,-0.13601918465227814,0.05324526322857643,0.050559799475229164
B_OV2_n250_correct,correct,250,100,risk,2,0.477676,1,0.74,0.74,0.0,0.7050359712230215,-0.03496402877697846,0.7050359712230215,-0.03496402877697846,0.05674500990730145,0.05613019183043851
B_OV2_n250_correct,correct,250,100,risk,2,3.11961,0,0.9,0.8866666666666667,-0.013333333333333308,0.762589928057554,-0.13741007194244603,0.762589928057554,-0.13741007194244603,0.15686997385212909,0.1546386610175137
B_OV2_n250_correct,correct,250,100,risk,2,3.11961,1,0.9466666666666667,0.9266666666666666,-0.020000000000000018,0.8345323741007195,-0.1121342925659472,0.8345323741007195,-0.1121342925659472,0.16588953672646473,0.16622507289414354
B_OV2_n250_correct,correct,250,100,risk,2,8.608445,0,0.9333333333333333,0.9133333333333333,-0.020000000000000018,0.7769784172661871,-0.15635491606714624,0.7769784172661871,-0.15635491606714624,0.20921489177222152,0.20267128042218255
B_OV2_n250_correct,correct,250,100,risk,2,8.608445,1,0.9066666666666666,0.8933333333333333,-0.013333333333333308,0.8057553956834532,-0.1009112709832134,0.8057553956834532,-0.1009112709832134,0.21615341847559222,0.2101799579725165
B_OV2_n250_correct,correct,250,100,rr,1,0.477676,-1,0.9,0.8402777777777778,-0.05972222222222223,0.8129496402877698,-0.08705035971223019,0.8129496402877698,-0.08705035971223019,3.1351524424848662,2.5230554178122446
B_OV2_n250_correct,correct,250,100,rr,1,3.11961,-1,0.9466666666666667,0.9333333333333333,-0.013333333333333308,0.8129496402877698,-0.13371702637889682,0.8129496402877698,-0.13371702637889682,0.780048741664226,0.783460933745147
B_OV2_n250_correct,correct,250,100,rr,1,8.608445,-1,0.9466666666666667,0.9333333333333333,-0.013333333333333308,0.8345323741007195,-0.1121342925659472,0.8345323741007195,-0.1121342925659472,0.5401385890143483,0.5190968453085173
B_OV2_n250_correct,correct,250,100,rr,2,0.477676,-1,0.92,0.8231292517006803,-0.09687074829931974,0.8057553956834532,-0.11424460431654682,0.8057553956834532,-0.11424460431654682,5.495637359007648,4.10409593999203
B_OV2_n250_correct,correct,250,100,rr,2,3.11961,-1,0.9,0.8733333333333333,-0.026666666666666727,0.7697841726618705,-0.13021582733812953,0.7697841726618705,-0.13021582733812953,1.6649379290289572,1.6717482314779872
B_OV2_n250_correct,correct,250,100,rr,2,8.608445,-1,0.9333333333333333,0.9,-0.033333333333333326,0.7841726618705036,-0.14916067146282974,0.7841726618705036,-0.14916067146282974,1.1960266224627607,1.1557798235334553
B_OV3_n250_correct,correct,250,100,rd,1,0.477676,-1,0.92,0.7318840579710145,-0.18811594202898552,0.6792452830188679,-0.24075471698113216,0.6792452830188679,-0.24075471698113216,0.08088001851305644,0.0627682773759802
B_OV3_n250_correct,correct,250,100,rd,1,3.11961,-1,0.9466666666666667,0.8456375838926175,-0.1010290827740492,0.6509433962264151,-0.2957232704402516,0.6509433962264151,-0.2957232704402516,0.24966046406622985,0.21859336170849572
B_OV3_n250_correct,correct,250,100,rd,1,8.608445,-1,0.94,0.8733333333333333,-0.06666666666666665,0.6792452830188679,-0.26075471698113206,0.6792452830188679,-0.26075471698113206,0.31738521888609295,0.27482917618063757
B_OV3_n250_correct,correct,250,100,rd,2,0.477676,-1,0.9333333333333333,0.7669172932330827,-0.16641604010025068,0.7452830188679245,-0.18805031446540887,0.7452830188679245,-0.18805031446540887,0.07625897595554809,0.059514806504732926
B_OV3_n250_correct,correct,250,100,rd,2,3.11961,-1,0.92,0.831081081081081,-0.08891891891891901,0.6792452830188679,-0.24075471698113216,0.6792452830188679,-0.24075471698113216,0.25503485123400166,0.23079371367263912
B_OV3_n250_correct,correct,250,100,rd,2,8.608445,-1,0.94,0.8791946308724832,-0.06080536912751677,0.6981132075471698,-0.24188679245283018,0.6981132075471698,-0.24188679245283018,0.32729579806642173,0.2963440208268987
B_OV3_n250_correct,correct,250,100,risk,1,0.477676,0,0.88,0.7905405405405406,-0.08945945945945943,0.5754716981132075,-0.3045283018867925,0.5754716981132075,-0.3045283018867925,0.06768600403953778,0.06346977337541712
B_OV3_n250_correct,correct,250,100,risk,1,0.477676,1,0.8466666666666667,0.7876712328767124,-0.05899543378995431,0.7169811320754716,-0.12968553459119503,0.7169811320754716,-0.12968553459119503,0.037510069942643554,0.0335953775035831
B_OV3_n250_correct,correct,250,100,risk,1,3.11961,0,0.9266666666666666,0.8866666666666667,-0.039999999999999925,0.5849056603773585,-0.34176100628930817,0.5849056603773585,-0.34176100628930817,0.20725114987007284,0.19319482540658242
B_OV3_n250_correct,correct,250,100,risk,1,3.11961,1,0.92,0.8933333333333333,-0.026666666666666727,0.6509433962264151,-0.269056603773585,0.6509433962264151,-0.269056603773585,0.1255393444800683,0.11752705821187566
B_OV3_n250_correct,correct,250,100,risk,1,8.608445,0,0.9266666666666666,0.88,-0.046666666666666634,0.5849056603773585,-0.34176100628930817,0.5849056603773585,-0.34176100628930817,0.2548036263803354,0.2370618024356176
B_OV3_n250_correct,correct,250,100,risk,1,8.608445,1,0.9333333333333333,0.9066666666666666,-0.026666666666666727,0.6226415094339622,-0.3106918238993711,0.6226415094339622,-0.3106918238993711,0.18580855131009194,0.17510854459479808
B_OV3_n250_correct,correct,250,100,risk,2,0.477676,0,0.8266666666666667,0.8013698630136986,-0.025296803652968047,0.6226415094339622,-0.20402515723270442,0.6226415094339622,-0.20402515723270442,0.051575318880373734,0.045286347997491136
B_OV3_n250_correct,correct,250,100,risk,2,0.477676,1,0.84,0.782312925170068,-0.05768707482993196,0.6509433962264151,-0.1890566037735849,0.6509433962264151,-0.1890566037735849,0.05059970425169129,0.04687076015416723
B_OV3_n250_correct,correct,250,100,risk,2,3.11961,0,0.9266666666666666,0.88,-0.046666666666666634,0.6415094339622641,-0.2851572327044025,0.6415094339622641,-0.2851572327044025,0.17249759842492932,0.16020233516690918
B_OV3_n250_correct,correct,250,100,risk,2,3.11961,1,0.8866666666666667,0.84,-0.046666666666666745,0.6226415094339622,-0.2640251572327045,0.6226415094339622,-0.2640251572327045,0.17352981344148347,0.16325099451492447
B_OV3_n250_correct,correct,250,100,risk,2,8.608445,0,0.94,0.9333333333333333,-0.006666666666666599,0.6320754716981132,-0.30792452830188677,0.6320754716981132,-0.30792452830188677,0.22820272062548846,0.21239339412008126
B_OV3_n250_correct,correct,250,100,risk,2,8.608445,1,0.8933333333333333,0.8866666666666667,-0.006666666666666599,0.6698113207547169,-0.22352201257861637,0.6698113207547169,-0.22352201257861637,0.2263343373228608,0.21472559949921546
B_OV3_n250_correct,correct,250,100,rr,1,0.477676,-1,0.9333333333333333,0.7753623188405797,-0.15797101449275364,0.7169811320754716,-0.2163522012578617,0.7169811320754716,-0.2163522012578617,1.8109316257769972,1.70777615656093
B_OV3_n250_correct,correct,250,100,rr,1,3.11961,-1,0.9533333333333334,0.8926174496644296,-0.06071588366890379,0.6698113207547169,-0.2835220125786164,0.6698113207547169,-0.2835220125786164,0.866159499460898,0.820873877591582
B_OV3_n250_correct,correct,250,100,rr,1,8.608445,-1,0.9133333333333333,0.8666666666666667,-0.046666666666666634,0.6886792452830188,-0.2246540880503145,0.6886792452830188,-0.2246540880503145,0.6066053996240335,0.5431874288335875
