axis,arm,n,type,event,time,levels_tested,min_coverage,breakpoint_level,coverage_at_break,se_ratio_at_break,std_bias_at_break
max_updates,correct,250,rr,1,8.608445,1,0.8373493975903614,RA3@1000,0.8373493975903614,0.03418161239166167,0.05987774363995141
max_updates,correct,250,rr,2,0.477676,1,0.8788788788788788,RA3@1000,0.8788788788788788,0.10720191422727864,0.10450824345584799
max_updates,correct,250,rr,2,3.11961,1,0.924924924924925,,,,
max_updates,correct,250,rr,2,8.608445,1,0.943943943943944,,,,
min_nuisance,correct,250,rd,1,0.477676,6,0.848,OV3@0.025,0.886,0.7831244240071644,-0.014043187314587684
min_nuisance,correct,250,rd,1,3.11961,6,0.826,OV3@0.025,0.83,0.7989233885814632,0.11675056523946369
min_nuisance,correct,250,rd,1,8.608445,6,0.876,CN3@0.025,0.894,0.8370951502927625,0.07854302251637824
min_nuisance,correct,250,rd,2,0.477676,6,0.894,OV3@0.1,0.894,0.7564404605411733,-0.07146932205717374
min_nuisance,correct,250,rd,2,3.11961,6,0.848,OV3@0.025,0.868,0.7910455268930335,-0.13487171377200916
min_nuisance,correct,250,rd,2,8.608445,6,0.864,CN3@0.025,0.864,0.8088050540773297,0.018186625388394124
min_nuisance,correct,250,risk,1,0.477676,6,0.732,OV3@0.025,0.75,0.689930755808126,0.06521590905420052
min_nuisance,correct,250,risk,1,3.11961,6,0.798,CN3@0.025,0.88,0.8402297791855281,0.06103677187726077
min_nuisance,correct,250,risk,1,8.608445,6,0.822,CN3@0.025,0.852,0.7496179336174932,0.08133943463986752
min_nuisance,correct,250,risk,2,0.477676,6,0.77,CN3@0.025,0.884,0.9928299556338471,-0.044993064595692
min_nuisance,correct,250,risk,2,3.11961,6,0.788,OV3@0.025,0.796,0.6954190955781173,0.16014398452271061
min_nuisance,correct,250,risk,2,8.608445,6,0.814,CN3@0.025,0.858,0.752355674767678,0.043676771747634395
min_nuisance,correct,250,rr,1,0.477676,6,0.822,OV3@0.025,0.838,0.6319953400355719,0.29843814828135784
min_nuisance,correct,250,rr,1,3.11961,6,0.88,OV3@0.025,0.894,0.8120353756913707,0.28975776152956517
min_nuisance,correct,250,rr,1,8.608445,6,0.878,CN3@0.025,0.878,0.7905420793459339,0.13647526206854618
min_nuisance,correct,250,rr,2,0.477676,6,0.804,CN3@0.05,0.896,0.5095246981048546,0.24052520690630463
min_nuisance,correct,250,rr,2,3.11961,6,0.844,OV3@0.025,0.856,0.7317265477527342,0.1061710330107748
min_nuisance,correct,250,rr,2,8.608445,6,0.874,CN3@0.025,0.898,0.819977948186423,0.11106708321071174
nulleffect,correct,250,rd,1,0.477676,1,0.945,,,,
nulleffect,correct,500,rd,1,0.477676,1,0.96,,,,
nulleffect,correct,250,rd,1,3.11961,1,0.935,,,,
nulleffect,correct,500,rd,1,3.11961,1,0.942,,,,
nulleffect,correct,250,rd,1,8.608445,1,0.923,,,,
nulleffect,correct,500,rd,1,8.608445,1,0.954,,,,
nulleffect,correct,250,rd,2,0.477676,1,0.956,,,,
nulleffect,correct,500,rd,2,0.477676,1,0.96,,,,
nulleffect,correct,250,rd,2,3.11961,1,0.951,,,,
nulleffect,correct,500,rd,2,3.11961,1,0.928,,,,
nulleffect,correct,250,rd,2,8.608445,1,0.958,,,,
nulleffect,correct,500,rd,2,8.608445,1,0.944,,,,
nulleffect,correct,250,risk,1,0.477676,1,0.9,,,,
nulleffect,correct,500,risk,1,0.477676,1,0.934,,,,
nulleffect,correct,250,risk,1,3.11961,1,0.928,,,,
nulleffect,correct,500,risk,1,3.11961,1,0.928,,,,
nulleffect,correct,250,risk,1,8.608445,1,0.927,,,,
nulleffect,correct,500,risk,1,8.608445,1,0.95,,,,
nulleffect,correct,250,risk,2,0.477676,1,0.91,,,,
nulleffect,correct,500,risk,2,0.477676,1,0.922,,,,
nulleffect,correct,250,risk,2,3.11961,1,0.936,,,,
nulleffect,correct,500,risk,2,3.11961,1,0.944,,,,
nulleffect,correct,250,risk,2,8.608445,1,0.945,,,,
nulleffect,correct,500,risk,2,8.608445,1,0.952,,,,
nulleffect,correct,250,rr,1,0.477676,1,0.908,,,,
nulleffect,correct,500,rr,1,0.477676,1,0.95,,,,
nulleffect,correct,250,rr,1,3.11961,1,0.943,,,,
nulleffect,correct,500,rr,1,3.11961,1,0.962,,,,
nulleffect,correct,250,rr,1,8.608445,1,0.933,,,,
nulleffect,correct,500,rr,1,8.608445,1,0.954,,,,
nulleffect,correct,250,rr,2,0.477676,1,0.8878878878878879,NULL,0.8878878878878879,0.3341975941904227,0.17412999735714807
nulleffect,correct,500,rr,2,0.477676,1,0.926,,,,
nulleffect,correct,250,rr,2,3.11961,1,0.939,,,,
nulleffect,correct,500,rr,2,3.11961,1,0.94,,,,
nulleffect,correct,250,rr,2,8.608445,1,0.943,,,,
nulleffect,correct,500,rr,2,8.608445,1,0.94,,,,
overlap,correct,250,rd,1,0.477676,4,0.837,OV4,0.837,0.6456968813870145,0.02810295575509596
overlap,oracle,250,rd,1,0.477676,2,0.807,OV4,0.807,0.6209904966228492,-0.01681140627376721
overlap,correct,500,rd,1,0.477676,4,0.726,OV4,0.726,0.46561221090211075,-0.006350029552771182
overlap,correct,250,rd,1,3.11961,4,0.703,OV3,0.895,0.917068431293416,0.08840361912955773
overlap,oracle,250,rd,1,3.11961,2,0.709,OV4,0.709,0.6365371373978398,0.12238045265723578
overlap,correct,500,rd,1,3.11961,4,0.736,OV3,0.888,0.839963960831973,0.025003457564934658
overlap,correct,250,rd,1,8.608445,4,0.718,OV3,0.887,0.8452466864585101,0.08551914169673425
overlap,oracle,250,rd,1,8.608445,2,0.71,OV4,0.71,0.6420944051733488,0.12091406115046557
overlap,correct,500,rd,1,8.608445,4,0.732,OV3,0.896,0.8859286258472184,0.11810166431196809
overlap,correct,250,rd,2,0.477676,4,0.898,OV4,0.898,0.6966777028074721,-0.01682294315026994
overlap,oracle,250,rd,2,0.477676,2,0.854,OV4,0.854,0.6485848242361945,-0.049099397812646474
overlap,correct,500,rd,2,0.477676,4,0.804,OV4,0.804,0.4880184591237276,0.080410542424403
overlap,correct,250,rd,2,3.11961,4,0.762,OV4,0.762,0.6194893274032186,-0.006323254444838353
overlap,oracle,250,rd,2,3.11961,2,0.754,OV4,0.754,0.6354125210762722,-0.058015223075781705
overlap,correct,500,rd,2,3.11961,4,0.774,OV3,0.89,0.8289891324762652,-0.07041326767403124
overlap,correct,250,rd,2,8.608445,4,0.739,OV3,0.885,0.8486410879740476,-0.06334336490665378
overlap,oracle,250,rd,2,8.608445,2,0.734,OV3,0.888,0.9154246427113176,-0.07693208020142203
overlap,correct,500,rd,2,8.608445,4,0.77,OV3,0.892,0.857655098856372,-0.02757490001560534
overlap,correct,250,risk,1,0.477676,4,0.701,OV1,0.879,0.9476635044921707,0.0018501532528631462
overlap,oracle,250,risk,1,0.477676,2,0.688,OV3,0.881,1.2075581865968346,-0.022785176587701152
overlap,correct,500,risk,1,0.477676,4,0.624,OV1,0.898,0.9746396509418064,-0.022798797322865928
overlap,correct,250,risk,1,3.11961,4,0.604,OV2,0.887,0.9308926547330426,0.005961580402049559
