cell,estimator,estimand,event,time,group,n_rep,n_used,truth,bias,bias_mc_se,rel_bias,emp_sd,mean_se,se_ratio,rmse,coverage,coverage_mc_se,miss_low,miss_high,ci_width,ci_width_mc_se,n_ci,n_error,frac_nonconverged,n_converged_known,n
n500,gcomp (concrete),rd,2.0,5.420902,,500.0,500.0,0.08039718781145194,0.00031738205468260816,0.001624352487383241,0.00394767607328424,0.03632162581209797,,,0.03628667402779466,,,,,,,0.0,0.0,0.0,500.0,500
n500,ipw,rd,1.0,1.605387,,500.0,500.0,-0.06676032309484575,-0.0010136832554837908,0.0014286490983961026,0.01518391775970977,0.03194556500007471,0.0328766464858049,1.0291458762970074,0.03192969838050618,0.956,0.009172131704244116,0.022,0.022,0.12887408608926587,0.0004305819793248734,500.0,0.0,0.0,500.0,500
n500,ipw,rd,1.0,3.11961,,500.0,500.0,-0.10970149312307753,-0.0004258029997503767,0.0017553240882159245,0.0038814695008084804,0.03925023983793645,0.04378986934776107,1.115658643834246,0.03921328184270552,0.974,0.007116740827092135,0.018,0.008,0.1716531336186523,0.0004411140701560382,500.0,0.0,0.0,500.0,500
n500,ipw,rd,1.0,5.420902,,500.0,500.0,-0.15036384983382675,-0.0025116990537398026,0.0020761592367258804,0.016704141697060724,0.04642433185433146,0.05392263411693787,1.161516643602633,0.04644584785620143,0.976,0.006844559883586383,0.016,0.008,0.21137284164145803,0.0004503892881284659,500.0,0.0,0.0,500.0,500
n500,ipw,rd,2.0,1.605387,,500.0,500.0,0.02683608304896079,0.0006716723976413084,0.001395761368839049,0.025028704688977273,0.031210173010922704,0.03265642032177175,1.0463389712816682,0.031186181128550153,0.948,0.009929350431926557,0.032,0.02,0.12801081538934908,0.0004426366163377062,500.0,0.0,0.0,500.0,500
n500,ipw,rd,2.0,3.11961,,500.0,500.0,0.049985468677064826,0.0014638188904197462,0.0017898222321932006,0.02928488877191223,0.04002164178824409,0.04358811567329236,1.0891136326670108,0.040008388039855125,0.968,0.007870959280799264,0.016,0.016,0.17086227374723775,0.000430732743859908,500.0,0.0,0.0,500.0,500
n500,ipw,rd,2.0,5.420902,,500.0,500.0,0.08039718781145194,0.0014034176920870354,0.0021013205286834684,0.01745605450004471,0.04698695544652032,0.053847014817283,1.1459992311817409,0.04696092008667932,0.98,0.006260990336999414,0.012,0.008,0.21107641943373864,0.00045636047509086465,500.0,0.0,0.0,500.0,500
n500,tmle,rd,1.0,1.605387,,500.0,500.0,-0.06676032309484575,-0.000941716725226148,0.0013682150684905807,0.014105934207182612,0.03059421900984469,0.03047598357987094,0.9961353669483864,0.030578113982704495,0.952,0.009559916317625384,0.024,0.024,0.11946366041996223,0.0003299198155443217,500.0,0.0,0.0,500.0,500
n500,tmle,rd,1.0,3.11961,,500.0,500.0,-0.10970149312307753,-0.0005288248478814689,0.0016945034979665178,0.004820580220254284,0.037890250095643105,0.038239114906289125,1.0092072448655105,0.03785603473589776,0.96,0.008763560920082661,0.024,0.016,0.1498945760340308,0.00028501288488490376,500.0,0.0,0.0,500.0,500
n500,tmle,rd,1.0,5.420902,,500.0,500.0,-0.15036384983382675,-0.0019574516527447864,0.002016488993442966,0.013018100127843537,0.04509006465218599,0.04389951794157878,0.9735962518618945,0.04508746299638592,0.938,0.010784804124322337,0.028,0.034,0.17208294820832867,0.0002534651287193474,500.0,0.0,0.0,500.0,500
